id,surface,status,requirement,desired_reference,evidence,legacy,react,tests
T105.4,doctrine,not_applicable,T66/T77 collapse UX stays gated by collapse-test hermetic (no redundant journey),Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: collapse-test.js gate — how we test T66/T77. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement. This is a retained verification obligation, not a pixel or a runtime feature. Excluding it from behavior counts must not waive the corresponding React prefix/collapse/visible-transcript oracle before the legacy test/reference path is deleted.",,,
T109,other,not_applicable,Unattended safe batch of frontier leaves can be completed by agents without owner decision or validation gates,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: unattended batch consume — automation, not frontier table. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T110,other,not_applicable,Self-test orchestrator runs classed packs on sites live | drill | ci with one report schema,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: self-test orchestrator / pack schema. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T110.1,impl,missing,Web client layout probe surface exposes composer/messages/last-reply metrics,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"The legacy layout-probe integration is absent in React. This is a missing diagnostic interface, not missing visible chrome; it matters to dependent test packs and should be replaced or explicitly retired.",web/scripts/layout_probe.js:1; web/index.html:1700,ui/src/components/AgentTranscript.tsx:1,
T110.3,other,not_applicable,"First packs health-L1, composer-growth-L2, and agents-parent-L1 are registered and gradable",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: self-test pack registration — not cockpit paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T110.4,other,not_applicable,Drill site is documented with a minimal ensure-isolate path (full drill tab may be stub),Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: drill-site docs — not cockpit paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T114,aside,partial,"Fleet model is unified: an aside is a kind of agent — one registry, one talk path, purpose distinguishes side chat",Main transcript contract through the shared React widget. Legacy sidebar is historical evidence only; aside routing and lifecycle remain requirements.,The common registry and agent-addressed mux remain shared; React mounts work and aside rows in AgentTree and sends by name. The explicit UI clause is not out of scope: prefix-created aside lifecycle is missing and the main display fold does not filter attention-wrapped side turns. The old attention chip wall was deliberately retired by T136/T250; do not restore it.,web/index.html:2312; web/index.html:8643; web/index.html:6334,ui/src/components/AgentTree.tsx:158; ui/src/components/AgentInteraction.tsx:52; ui/src/conversation/useConversation.ts:117; ui/src/conversation/display.ts:311,
T119.2,impl,code_supported,"Transcript view height backfill is windowed around the viewport, not the whole history",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,React measures mounted virtual items and a bounded end band instead of walking every DOM row. Source supports windowed measurement; comparative long-history runtime remains unmeasured.,web/scripts/virtual_list.js:1,ui/src/components/AgentTranscript.tsx:85; ui/src/transcript/hydrateOverscan.ts:20,
T119.3,impl,partial,"Transcript is an absolute-position virtual list: O(viewport) nodes, mid-list collapse does not require sibling shells",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,TanStack virtual items occupy an absolute-position canvas. The O(viewport) owner requirement survives replacement of the vanilla reconciler; collapse and historical anchor behavior require separate runtime evidence.,web/scripts/virtual_list.js:1,ui/src/components/AgentTranscript.tsx:85,
T119.4,impl,changed,"Transcript list is a specialized reconciler: model is left, DOM is right, IR is attach+geometry not an element tree",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React/TanStack intentionally replaces the bespoke model/DOM/IR reconciler. Do not reimplement that internal architecture for parity; preserve the bounded DOM, stable geometry and replay outcomes in T56/T119.3/T494.1.2.",web/scripts/virtual_list.js:1,ui/src/components/AgentTranscript.tsx:85,
T119.5,impl,partial,Transcript display fold is incremental and equal to a full f(events) replay,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"The stream reducer is incremental, but AgentTranscript recomputes displayRows across the frame list whenever frames change. Equality and bounded incremental work are distinct; the complete legacy incremental-display obligation is not established.",web/scripts/conversation_widget.js:1,ui/src/components/AgentTranscript.tsx:81; ui/src/conversation/display.ts:1; ui/src/conversation/reduce.ts:208,
T128.2,impl,not_applicable,Soft-empty transcript and related 200-empty API paths leave empty_reason fingerprints,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: empty_reason API fingerprints — server, not paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T140,other,partial,Reconnect and degraded-mode health are first-class in logs and UI chrome,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Connected dot, root phase strip and overseer-down banner are wired. Browser reconnect/hydrate decision logging is absent: the paired browser captured legacy /api/log lifecycle records and zero React browser log requests. Client failure isolation and owner-UX degrade are also incomplete.",web/index.html:2869; web/index.html:3073,ui/src/App.tsx:233; ui/src/conversation/degraded.ts:8; ui/src/mux/client.ts:30,"parity-browser: GREEN 744e90f5; mocked transport, actual unchanged browser build; observed difference, not a parity pass."
T141,impl,partial,Main UI boot state is TDZ-safe and failure-isolated,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"ES modules remove the old script-order TDZ mechanism. The reference boot sentinel/module-load warning has no React equivalent or root error boundary. A failure-isolated startup claim requires an injected module/render failure, not just successful normal startup.",web/scripts/boot_sentinel.js:1; web/scripts/module_gate.js:1,ui/src/main.tsx:1; ui/src/App.tsx:82,
T142,impl,uncertain,Chatlog replay is cheap — sealed turns not token-stream firehose,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React opens an agent-addressed mux window, and the server supplies coalesced mux events from state DB or journal-tail fold. This supports bounded replay architecture. No long SuperGrok reconnect/frame-count/DOM-thrash run was made, so the owner-visible cheap-replay outcome is not certified merely because the old ReplayTail helper remains.",web/scripts/chat_events.js:1,ui/src/conversation/useConversation.ts:85; internal/server/convomux.go:797; internal/server/convomux.go:924; internal/muxwin/events.go:50,
T155,other,not_applicable,New unattended frontier leaves get a worker immediately without waiting for owner,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: unattended frontier spawn policy — daemon, not table paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T176,doctrine,not_applicable,Overseer status language is in progress vs live — live means product-visible only,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: persona/AGENTS in-progress vs live vocabulary — no pixel. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T204,other,partial,Cockpit converges to a usable owner chat and live fleet: overseer Alive+attached+turn-usable; stuck-busy auto-unstuck; dead workers recovered; idle mission workers nudged — not process-liveness alone,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Daemon recovery remains shared, and React carries overseer-down/working samples. The frontend loses durable follow-up queue behavior and soft-reconnect retention; those client regressions prevent certifying usable chat from shared recovery tests.",web/index.html:3046; internal/server/owner_health.go:1,ui/src/conversation/reduce.ts:208; ui/src/components/AgentInteraction.tsx:82,
T209,impl,code_supported,Agent inspect transcript uses the same live wire pathway as main chat — not a separate HTTP poll channel,Main transcript contract through the shared React widget. Legacy sidebar is historical evidence only; aside routing and lifecycle remain requirements.,"Root and selected agent both use useConversation and the same MuxClient transcript subscription. The old shared-socket architecture is preserved through a new protocol; this is wiring evidence, not a multi-provider live-session assertion.",web/index.html:3136; web/scripts/agent_transcript.js:1,ui/src/conversation/useConversation.ts:45; ui/src/App.tsx:391,
T213,other,not_applicable,Fleet inspect/status/transcript discovery covers Claude (and non-Grok) session stores — not only ~/.grok/sessions,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: session discovery across providers — inspect API, not paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T219,other,not_applicable,"A durable background sentinel agent (ralph-style loop) continuously observes cockpit and fleet health, repairs what it can, and otherwise files a bullseye target and directs jevons-po to execute — without owner babysitting",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: background sentinel agent — ops, not cockpit chrome. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T222,other,partial,Filing and frontier play cannot create duplicate same-mission targets or double-engaged implementers,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Duplicate filing remains a shared daemon obligation. FrontierTable calls canPlayKickoff through playKickoffRequest and shows Stop for engaged rows, preventing a normal second client kickoff. But set-aside/achieved rows still offer Play; their blocked message is sent to an optional onNotice that App never supplies, so the click silently does nothing instead of producing the required clear error. Request failures are silent for the same reason. Independent comparison correction: legacy Play/Stop failures also only logged/reset, so missing visible action-error notices are inherited product hardening, not a migration loss or retirement blocker.",web/scripts/frontier_table.js:1,ui/src/frontier/play.ts:128; ui/src/frontier/play.ts:243; ui/src/components/FrontierTable.tsx:141; ui/src/App.tsx:389,
T236,other,not_applicable,"After provider outage or failed turns, open-mission fleet is re-pressured without owner continue",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: fleet re-pressure after outage — daemon recovery. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T237,other,code_supported,Provider/ACP failures are classified: local vs backend-down vs unknown — not bare Internal error,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"The actual classified-provider path in chat_wire.go:142–179 emits an assistant text frame with failure_class, which React renders. Fresh browser3e83c0cf displayed the supplied classified text exactly. Explicit mux error envelopes also become send_error diagnostics. Shared backend classification/retry policy is not proved by this UI fixture; generic type:error alert handling and owner-UX degradation are separate obligations.",internal/server/chat_wire.go:152; web/index.html:2983,ui/src/conversation/reduce.ts:299; ui/src/conversation/display.ts:14,"parity-browser-v2 GREEN3e83c0cf: supplied classified assistant failure text visible in unchanged React browser build; mocked provider/API, not a provider-outage journey."
T254.1,other,not_applicable,Daemon enforces unattended frontier consumption — every Build leaf has a worker or explicit park reason,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: daemon enforces frontier consumption — not table paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T262.1,doctrine,not_applicable,"Written doctrine: readiness set, not next-ticket; frontier strictly stronger than queues",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: frontier = ready-set written doctrine. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T262.2,doctrine,not_applicable,Multi-agent model evaluated: worker-per-frontier-leaf vs engagement policy,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: worker-per-leaf vs engagement policy design packet. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T285.1,delivery,not_applicable,A provider switch never starts work in the session that read the predecessor transcript,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: provider-switch handover seed shape — MCP, not tree paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T292,impl,missing,"Every script index.html loads is embedded, so a released jevonsd serves the full UI standalone",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"The old embed list remains complete for vanilla, but no React asset embed or equivalent release packaging is established. Retiring web removes the only embedded cockpit. Preserve standalone installation as a migration obligation; see T53.",web/embed.go:16,internal/server/react_ui.go:53; cmd/jevonsd/main.go:580,
T304,other,not_applicable,"jevons_transcript_read returns the named agent's transcript, not the caller's",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: jevons_transcript_read caller vs named agent — MCP. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T308,impl,partial,Main and sidebar transcripts use one message-bubble widget (build path) with different inputs — no second bubble constructor,Main transcript contract through the shared React widget. Legacy sidebar is historical evidence only; aside routing and lifecycle remain requirements.,"One AgentInteraction/AgentTranscript/ClippedBubble path really serves both densities and preserves numeric timestamps, but drops ISO timestamp strings. The old 30-second timestamp refresh loop has no equivalent timer; labels recalculate only on other renders. Fresh same-payload comparison also confirms sidebar overrides explicit owner provenance from body shape while main does not. That difference violates the owner shared-main contract, not a requirement to restore the old sidebar.",web/index.html:8225; web/scripts/conversation_widget.js:1,ui/src/App.tsx:295; ui/src/App.tsx:379; ui/src/components/AgentTranscript.tsx:76; ui/src/components/AgentTranscript.tsx:550; ui/src/conversation/display.ts:228,"GATE parity-independent-challenge exit=0 GREEN id=781e8871, clean@8dd6e1694bbf; two fresh actual-source assertions confirm observed defects, not parity.; GATE parity-independent-challenge exit=0 GREEN id=70e3a105, clean@8dd6e1694bbf; 3 observed differences asserted: explicit-owner density mismatch, missing SVG cache, dropped ISO timestamp."
T309.2,impl,partial,"One agent-addressed conversation API family serves transcript, live stream, and send for every agent — overseer included, no privileged overseer-only chat wire for conversation",Main transcript contract through the shared React widget. Legacy sidebar is historical evidence only; aside routing and lifecycle remain requirements.,"Named root/PO/worker/aside channels share history/window/page/send handlers and the same React adapter. Fresh backend gate2a493c32 nevertheless reproduces a provider-user journal→SQLite/mux ingestion omission and overseer HTTP queued→sent acknowledgement mismatch. Same API family is a success; consistent conversation/delivery semantics remain incomplete. See backend-unification.md, B1/B2, and T627.",web/scripts/conversation_widget.js:1768,ui/src/mux/client.ts:94; ui/src/mux/client.ts:148; ui/src/conversation/useConversation.ts:127,"parity-backend-seams GREEN2a493c32: divergences reproduced, not parity.; parity-backend-existing GREEN4b3b960f:53 existing hermetic tests; no live provider."
T317,other,not_applicable,Convergence impatience escalates noise when open-mission idle exceeds reasonable bounds — overseer event then human-visible alert; noise is not satisfaction,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,Human escalation is implemented as a shared macOS notification path; a new React sticky banner is not required by the acceptance’s “UI and/or OS” choice.,internal/converge/sticky/sticky.go:1,internal/converge/sticky/sticky.go:1,
T319,other,not_applicable,Human impatience alerts auto-clear on true satisfaction; every closed impatience incident yields a root mini-postmortem to the owner,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Shared incident clearance, OS-alert removal and root-delivered postmortems. T319 supersedes T317’s human-ack-only wording; not a missing React dismissal widget.",internal/converge/postmortem.go:1,internal/converge/postmortem.go:1,
T322,doctrine,not_applicable,make test-ui passes hermetically — the mocked WS drives the same connected handshake the product requires,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: make test-ui mocked-WS handshake — how we write UI tests. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T324,impl,partial,"Fleet model badge binding is session truth rewritten on launch/migrate/rehydrate, with cache only between those events",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Session/provider binding is shared daemon behavior. React reads /api/agents on a five-second polling interval, but it never subscribes to agents_changed; mux.onOpen only sets connected=true. Consequently a server registry change or transport reconnect does not trigger the required immediate badge feed refresh. Polling eventually recovers it.",web/index.html:3160; web/index.html:6881,ui/src/App.tsx:161; ui/src/App.tsx:221; ui/src/mux/client.ts:50,
T325.1,other,not_applicable,Product owners run proactive-until-empty-then-sleep: keep kicking Build while the product frontier has ready leaves; sleep/idle without open-mission thrash when empty; stay interruptible for owner/overseer,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: PO proactive-until-empty-then-sleep — fleet policy, not paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T337,other,not_applicable,Frontier auto-consume does not engage multi-device mobile megawork or leaves blocked by set_aside deps without explicit owner open,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: frontier auto-consume skip classes — policy, not table. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T338,other,not_applicable,Frontier auto-consume only engages true work leaves — not converging parents with active children or CGO/infrastructure megawork without owner open,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: frontier auto-consume true-work-leaves only — policy. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T339,other,not_applicable,Frontier auto-consume parks deferred/not-urgent leaves (voice/device later class) without owner open,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: frontier auto-consume parks deferred leaves — policy. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T342,other,not_applicable,Frontier consume deferred-classifier covers voice/iPad/VoicelabKit device DSP class (T28 residual after T339),Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: deferred-classifier voice/device DSP — policy. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T343,other,not_applicable,Frontier consume deferred-classifier parks T29-class generative-UI / DEFERRED future-work ambition,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: deferred-classifier T29-class — policy. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T345,other,not_applicable,Provider-feed automation liveness does not false-stall on cold start before first feed event,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,Provider-feed warm-up classification lives outside either cockpit renderer; no missing React UI can be inferred from the ticker journey label.,internal/provider/liveness.go:1,internal/provider/liveness.go:1,
T346,other,not_applicable,Sentinel frontier_stall uses unattended-ready leaf count not raw graph frontier depth,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: sentinel frontier_stall classifier — not the table. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T353,other,not_applicable,"RSI coach retrospectively mines history (transcripts, git, eventlog) — not only forward drip of new appends",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: RSI coach retrospective mine — ops, not cockpit chrome. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T354,other,missing,Owner can see RSI coach judgments and their dispositions in the daily UI — bare list is enough for v1,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Fresh paired browser: the legacy Coach tab fetched and displayed a filed high-severity judgment, reason, target, evidence and date. React displayed “Coach judgments port next.” and never requested dispositions. Gate 744e90f5 confirms this difference on unchanged builds.",web/index.html:11165; web/index.html:11209; web/scripts/rsi_dispositions.js:1,ui/src/components/SidebarPanel.tsx:63,"parity-browser: GREEN 744e90f5; mocked transport, actual unchanged browser build; observed difference, not a parity pass."
T355,other,partial,Owner interaction converges: level-triggered healthy chat with recovery generalized from post-restart dual-path,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Shared owner-health observers/actuators remain, but React does not report composer_blocked, execute yield_hydrate or render the owner-interaction degraded class. Mux heartbeat and root overseer-down/phase paint cover only part of the owner-health loop. Client obligations retained, not excused as daemon-only.",web/scripts/owner_ux.js:1; web/index.html:2752; internal/server/owner_health.go:487,ui/src/mux/client.ts:153; ui/src/conversation/degraded.ts:8; ui/src/components/AgentInteraction.tsx:83,
